codeGroup,code,label,sortOrder,active,remarks
GuaranteeFoundation,GF_01,서울신용보증재단,1,Y,
GuaranteeFoundation,GF_02,인천신용보증재단,2,Y,
GuaranteeFoundation,GF_03,경기신용보증재단,3,Y,
GuaranteeFoundation,GF_04,부산신용보증재단,4,Y,
GuaranteeFoundation,GF_05,울산신용보증재단,5,Y,
GuaranteeFoundation,GF_06,경북신용보증재단,6,Y,
GuaranteeFoundation,GF_07,대구신용보증재단,7,Y,
GuaranteeFoundation,GF_08,경남신용보증재단,8,Y,
GuaranteeFoundation,GF_09,강원신용보증재단,9,Y,
GuaranteeFoundation,GF_10,대전신용보증재단,10,Y,
GuaranteeFoundation,GF_11,충남신용보증재단,11,Y,
GuaranteeFoundation,GF_12,충북신용보증재단,12,Y,
GuaranteeFoundation,GF_13,광주신용보증재단,13,Y,
GuaranteeFoundation,GF_14,전남신용보증재단,14,Y,
GuaranteeFoundation,GF_15,전북신용보증재단,15,Y,
GuaranteeFoundation,GF_16,제주신용보증재단,16,Y,
BuildingFloor,FL_01,지하2층 이하,1,Y,
BuildingFloor,FL_02,지하1층,2,Y,
BuildingFloor,FL_03,1층,3,Y,
BuildingFloor,FL_04,2층,4,Y,
BuildingFloor,FL_05,3층,5,Y,
BuildingFloor,FL_06,4층,6,Y,
BuildingFloor,FL_07,5층,7,Y,
BuildingFloor,FL_08,6층 이상,8,Y,
BuildingFloor,FL_09,복수층,9,Y,
FundPurpose,FP_01,인건비(급여 등),1,Y,
FundPurpose,FP_02,공과금 납부,2,Y,
FundPurpose,FP_03,원자재 구입자금,3,Y,
FundPurpose,FP_04,예비운영자금,4,Y,
FundPurpose,FP_05,다른회사 인수자금,5,Y,
FundPurpose,FP_06,타행운전자금 대환,6,Y,
FundPurpose,FP_07,분양목적부동산 구입,7,Y,
FundPurpose,FP_08,임대보증금 반환,8,Y,
FundPurpose,FP_09,판매활동비,9,Y,
FundPurpose,FP_10,당행운전자금 대환,10,Y,
FundPurpose,FP_11,비업무용 부동산 구입,11,Y,
FundPurpose,FP_12,기타운전자금,12,Y,
BaseRateType,RATE_01,CD91일물,1,Y,
BaseRateType,RATE_02,금융채6개월물,2,Y,
BaseRateType,RATE_03,금융채1년물,3,Y,
BaseRateType,RATE_04,고정금리,4,Y,
OwnershipType,OWN_01,자가,1,Y,
OwnershipType,OWN_02,임차,2,Y,
OwnershipType,OWN_03,기타,3,Y,
